rule,param,trigger_rate,n_triggered,median_capture,mean_capture,median_realized,mean_realized,p25_capture,p75_capture
trail_adr_2.0x,2.0,0.9030769230769231,1761,0.20552766310773693,0.30659357319956676,0.25844155844155825,0.4411873526191231,0.0873358250244213,0.4310885187297043
trail_adr_3.0x,3.0,0.698974358974359,1363,0.3336305055682699,0.4218005812436936,0.4153465346534655,0.5852995652378047,0.13761370285604618,0.6101448466965992
trail_adr_4.0x,4.0,0.48205128205128206,940,0.42048504715836144,0.4747799840846279,0.5035299170194947,0.6992159215946354,0.21584893165664704,0.637980504919672
trail_adr_5.0x,5.0,0.32051282051282054,625,0.41265120424202517,0.45988841263291697,0.504919730709477,0.7310337278981238,0.22062737951695433,0.5987446210321653
trail_adr_7.0x,7.0,0.13384615384615384,261,0.376184564718745,0.4579177720494121,0.47069901082097787,0.817198807884648,0.16501056067588327,0.5966728298113705
trail_adr_10.0x,10.0,0.038461538461538464,75,0.24999607149030523,0.3232359253950087,0.3626834381551365,0.8217092290815877,0.13264865781585933,0.46698713120420676
ma_cross_5,5.0,0.9994871794871795,1949,0.14092140921409224,0.20308251449946754,0.18009478672985768,0.2738936950688624,0.07099352479892575,0.26757956219491397
ma_cross_8,8.0,0.9989743589743589,1948,0.16998243103705457,0.2327731990644502,0.20935542220709202,0.3162350457596747,0.08261226161708371,0.3077324905627086
ma_cross_10,10.0,0.997948717948718,1946,0.19040142210701955,0.2651843682110251,0.24295434728450427,0.36133985847857253,0.09975963288674419,0.34562049669040684
ma_cross_13,13.0,0.9948717948717949,1940,0.2420440152983685,0.3289388348959449,0.3071985762111735,0.4458019435519711,0.12371187915878169,0.4500310697517811
ma_cross_20,20.0,0.9887179487179487,1928,0.324025935681313,0.4218537037716943,0.40874821156755325,0.5850308012727227,0.16462129673849923,0.589057758040439
ma_cross_30,30.0,0.9676923076923077,1887,0.4423706297688944,0.5366586684579268,0.5416391275611367,0.7309403210441893,0.23476298297241577,0.7145673849143264
ma_cross_50,50.0,0.8046153846153846,1569,0.5706552408403643,0.6260506798452464,0.6890243902439026,0.8731618996250171,0.3397193842112575,0.7812104751482547
lower_low_3,3.0,0.9984615384615385,1947,0.15084556742900906,0.20836855036662452,0.19163193593200933,0.2853953758907278,0.06854935183173338,0.2857422625122416
lower_low_5,5.0,0.9969230769230769,1944,0.18407408155681426,0.26048318616953337,0.23055286710874312,0.35607194542336185,0.0857103314078548,0.34016119978755166
lower_low_8,8.0,0.9933333333333333,1937,0.24848124074407374,0.3428908409310465,0.31813125695216926,0.4634954853532566,0.11693191494534591,0.47618820862757794
lower_low_13,13.0,0.9794871794871794,1910,0.3880105273084017,0.4775151693073344,0.47697884988746275,0.6515169043910193,0.17810936757274398,0.6602959357988782
lower_low_20,20.0,0.8805128205128205,1717,0.4925578979420035,0.5645233552363953,0.601527689369828,0.7746827389138198,0.24451655878223394,0.7355990629989869
