rule,param,trigger_rate,n_triggered,median_capture,mean_capture,median_realized,mean_realized,p25_capture,p75_capture
trail_adr_1.0x,1.0,0.9851282051282051,1921,0.10163625533148446,0.1666634120636075,0.12832057631697413,0.22826677477055032,0.039441131620038185,0.213939193878207
trail_adr_1.5x,1.5,0.9753846153846154,1902,0.15604987773417317,0.2499626588893085,0.19618348428779853,0.3410219279825935,0.06634349014443286,0.34607580766846613
trail_adr_2.0x,2.0,0.9343589743589743,1822,0.2142897178716589,0.3303194226226779,0.2766820384663179,0.4708685455274621,0.09175022852205053,0.46747131460343155
trail_adr_3.0x,3.0,0.7948717948717948,1550,0.39213345247837106,0.48031884780632894,0.4852922625948328,0.6710788820716294,0.15737105938801182,0.6907690461240144
trail_adr_4.0x,4.0,0.638974358974359,1246,0.519851214484631,0.5631618386925414,0.6331332548885946,0.8088582856475146,0.2587480502787464,0.732392380801064
trail_adr_5.0x,5.0,0.49846153846153846,972,0.516137323608971,0.5602355239330272,0.6468339230123198,0.8311169963833251,0.2830405490644988,0.7093699428961914
trail_adr_7.0x,7.0,0.28307692307692306,552,0.4376671562299026,0.5008562453074141,0.5598427561837456,0.7864107522308984,0.24164797875311497,0.6517693048972751
trail_adr_10.0x,10.0,0.09794871794871794,191,0.28265781878781177,0.3457941929492487,0.3626834381551365,0.6469249526731944,0.09477632108297046,0.5105881617844261
ma_cross_5,5.0,0.9994871794871795,1949,0.14092140921409224,0.20308251449946754,0.18009478672985768,0.2738936950688624,0.07099352479892575,0.26757956219491397
ma_cross_8,8.0,0.9989743589743589,1948,0.16998243103705457,0.2327731990644502,0.20935542220709202,0.3162350457596747,0.08261226161708371,0.3077324905627086
ma_cross_10,10.0,0.997948717948718,1946,0.19040142210701955,0.2651843682110251,0.24295434728450427,0.36133985847857253,0.09975963288674419,0.34562049669040684
ma_cross_13,13.0,0.9948717948717949,1940,0.2420440152983685,0.3289388348959449,0.3071985762111735,0.4458019435519711,0.12371187915878169,0.4500310697517811
ma_cross_20,20.0,0.9923076923076923,1935,0.3266533316635098,0.424588795351271,0.4119106699751862,0.5905821000565847,0.1647686604901183,0.5922608644881034
ma_cross_30,30.0,0.9856410256410256,1922,0.4489539405213425,0.5510272778174174,0.5519179884514418,0.755167551817074,0.23889878686293795,0.7304203718036457
ma_cross_50,50.0,0.9574358974358974,1867,0.6302435620671861,0.7083584271150923,0.7868210151380233,0.9814541892075638,0.386294039379655,0.8675551901216902
lower_low_3,3.0,0.9984615384615385,1947,0.15084556742900906,0.20836855036662452,0.19163193593200933,0.2853953758907278,0.06854935183173338,0.2857422625122416
lower_low_5,5.0,0.9969230769230769,1944,0.18407408155681426,0.26048318616953337,0.23055286710874312,0.35607194542336185,0.0857103314078548,0.34016119978755166
lower_low_8,8.0,0.9938461538461538,1938,0.2486627483967832,0.34335435887129007,0.3183291497649223,0.4639034965009169,0.11695859928272277,0.47653530270972627
lower_low_13,13.0,0.9902564102564102,1931,0.39282687550417444,0.4842900481633684,0.483720930232558,0.6609717915318543,0.17956964896996044,0.6680028345242432
lower_low_20,20.0,0.9702564102564103,1892,0.5412730058217637,0.6148191684689205,0.6544888525474779,0.8447781843218184,0.27248500664368963,0.8031360153570578
