feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
es_ext200_range_pos_3,0.9807617,0.10712967,0.7787783,0.3223175,0.6266597,110
es_ext200_stoch_3,98.07613,10.71316,77.877945,32.232048,0.62664926,110
ct_es_ext50_stoch14_gt_80_3,1.0252101,1.1005561,1.7605042,1.1743591,0.6261237,119
st_c_gt_c1_10,0.0,0.0,0.3134525,0.5007411,0.62597716,118
st_c_gt_c1_20,0.0,0.0,0.3135593,0.5012515,0.62555283,118
st_c_gt_c1_30,0.0,0.0,0.3135593,0.5012515,0.62555283,118
st_c_gt_c1_15,0.0,0.0,0.3135593,0.5012515,0.62555283,118
st_c_gt_c1_50,0.0,0.0,0.3135593,0.5012515,0.62555283,118
st_c_gt_c1_5,0.0,0.0,0.3130252,0.50053394,0.6253826,119
es_ext200_adx_slope_20_off5,-0.5702053,4.9041452,2.6004407,5.0814986,0.6239588,110
tir_h_gt_maxh5_1_5,1.0756303,0.8250287,2.0483193,1.5596118,0.6236738,119
tir_c_lower_half_5,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
tir_c_lower_half_30,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
tir_c_lower_half_10,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
st_c_upper_half_5,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
tir_c_lower_half_15,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
tir_c_lower_half_20,0.05882353,0.26978093,0.4516807,0.63121563,0.62238187,119
tir_h_gt_maxh5_1_20,1.0756303,0.8250287,2.0882354,1.6320044,0.6204671,119
tir_h_gt_maxh5_1_30,1.0756303,0.8250287,2.0882354,1.6320044,0.6204671,119
tir_h_gt_maxh5_1_10,1.0756303,0.8250287,2.0882354,1.6320044,0.6204671,119
tir_h_gt_maxh5_1_15,1.0756303,0.8250287,2.0882354,1.6320044,0.6204671,119
st_c_upper_half_50,0.059322033,0.2708761,0.44915256,0.6288607,0.61989963,118
st_c_upper_half_15,0.059322033,0.2708761,0.44915256,0.6288607,0.61989963,118
st_c_upper_half_30,0.059322033,0.2708761,0.44915256,0.6288607,0.61989963,118
st_c_upper_half_20,0.059322033,0.2708761,0.44915256,0.6288607,0.61989963,118
st_c_upper_half_10,0.059322033,0.2708761,0.45022076,0.6309536,0.6195364,118
