setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
base,long,HBAN,202,202,1,0,2020-10-20,7.7413,0.25017086306390984,17.0625,,1,1,-0.00011756670758696021,0.814431610173083,1,1,0,12.9625,1.0517578125
base,long,WSC,203,203,1,0,2020-10-21,17.2457,0.5056852869304217,16.5625,,1,10,3.5076550517201643,-0.1752477694519654,8,1,0,12.9625,1.0517578125
base,long,WSC,500,500,1,0,2021-12-27,40.3943,1.0570529754374942,1.490234375,,1,40,0.9415733586503142,5.631027322526536,7,19,0,12.9625,1.0517578125
base,long,SONO,212,212,1,0,2020-11-03,15.22,0.7025285714285711,23.484375,,1,10,3.103076641519408,0.16340972405799564,10,1,0,12.9625,1.0517578125
base,long,BBIO,214,214,1,0,2020-11-05,40.99,1.5703571428571428,36.125,,0,60,19.645212644985218,1.2544916988856032,39,1,0,12.9625,1.0517578125
base,long,EAT,214,214,1,0,2020-11-05,45.58,2.537435714285716,15.8671875,,1,54,8.650465458660454,0.5399151561897403,53,1,0,12.9625,1.0517578125
base,long,EAT,297,297,1,0,2021-03-09,70.83,4.069349999999999,3.998046875,,1,34,1.8430461867374401,1.501468293462101,4,34,0,12.9625,1.0517578125
base,long,EAT,826,826,1,0,2023-04-14,37.3,1.3914285714285721,-4.953125,0.38720703125,1,12,2.5872689938398357,0.5390143737166322,11,1,0,12.9625,1.0517578125
base,long,EAT,828,828,1,0,2023-04-18,38.22,1.3660714285714295,-4.953125,0.38720703125,1,10,1.9618300653594756,0.2928104575163386,9,7,0,12.9625,1.0517578125
base,long,EAT,1181,1183,3,1,2024-09-16,72.26,2.602328571428573,24.0625,1.28125,1,31,10.225457420002959,-0.1960167542256088,30,1,1,12.9625,1.0517578125
base,long,NEO,221,221,1,0,2020-11-16,42.7398,1.9954416504346923,20.046875,,0,60,9.060751035271494,0.6116824297882005,60,3,0,12.9625,1.0517578125
base,long,PJT,227,227,1,0,2020-11-24,64.6699,2.02456341516087,11.828125,,1,45,5.17680169117092,0.870678268412789,36,44,0,12.9625,1.0517578125
base,long,PJT,234,234,1,0,2020-12-04,66.1311,1.6729156308105597,0.95751953125,,1,38,5.391523126075048,1.927140442248179,29,37,0,12.9625,1.0517578125
base,long,PJT,1432,1432,1,0,2025-09-15,180.7896,4.35084158311452,-6.8515625,0.7568359375,1,35,1.945097640146778,4.937201296345471,3,35,0,12.9625,1.0517578125
base,long,APPS,238,239,2,0,2020-12-11,43.545,3.006114285714287,23.03125,,1,32,8.932228600756547,-0.32433896629726117,28,1,0,12.9625,1.0517578125
base,long,CMG,238,238,1,0,2020-12-10,26.3446,0.5846571428571428,10.7890625,,1,34,6.823144211503691,0.6971607291208561,34,2,0,12.9625,1.0517578125
base,long,CMG,240,240,1,0,2020-12-14,26.1904,0.5742857142857142,10.7890625,,1,32,7.214875621890548,-0.09820895522388062,32,13,0,12.9625,1.0517578125
base,long,TECH,241,241,1,0,2020-12-15,75.0653,1.8007333222133417,11.03125,,1,31,7.209842217494416,0.878597821996264,23,1,0,12.9625,1.0517578125
base,long,TECH,243,243,1,0,2020-12-17,75.4526,1.7485366390650674,11.03125,,1,29,7.203568313945979,0.2632695141593155,21,1,0,12.9625,1.0517578125
base,long,TECH,375,375,1,0,2021-06-29,109.2546,2.706335936922101,10.625,,1,25,3.644833904432649,0.7762193982764994,22,10,0,12.9625,1.0517578125
base,long,VCEL,241,241,1,0,2020-12-15,27.14,1.2904999999999998,34.6875,,1,46,20.798372723750486,0.8678806664083698,40,1,0,12.9625,1.0517578125
base,long,ISRG,242,242,1,0,2020-12-16,255.3533,5.481191863138354,1.8671875,,1,22,3.694469169080971,-0.07237555168729468,5,1,0,12.9625,1.0517578125
base,long,TVTX,243,243,1,0,2020-12-17,26.29,1.3664285714285713,9.59375,,1,47,4.976403554626242,1.785676947203344,30,26,0,12.9625,1.0517578125
base,long,NBP,233,233,1,0,2020-12-18,39.83,1.6414285714285708,15.8359375,,0,60,15.906875543951267,0.4934725848563941,47,1,0,12.9625,1.0517578125
base,long,LAD,251,252,2,0,2020-12-31,282.9646,11.118228123744233,14.796875,,1,21,5.286281948048813,1.1448209704188843,15,1,0,12.9625,1.0517578125
base,long,SITM,253,253,1,0,2021-01-04,110.31,6.634714285714283,19.953125,,1,20,4.995995090756412,0.41448657494132607,13,2,0,12.9625,1.0517578125
base,long,SITM,1526,1527,2,0,2026-01-30,363.11,20.970499999999994,14.46875,1.10546875,1,2,1.691900526930687,0.7181516892777953,2,2,1,12.9625,1.0517578125
base,long,JACK,254,254,1,0,2021-01-05,83.5426,2.4600407525666688,10.0,,1,28,4.140482942556304,0.5803014735278281,13,16,0,12.9625,1.0517578125
base,long,CARS,263,263,1,0,2021-01-19,12.68,0.6074214285714287,8.9296875,,1,25,2.8727995390350323,1.9426380837027708,25,8,0,12.9625,1.0517578125
base,long,CNDT,273,273,1,0,2021-02-02,5.09,0.28842857142857153,22.28125,,1,10,3.328380386329865,0.4091134224863773,9,2,0,12.9625,1.0517578125
base,long,CNDT,276,276,1,0,2021-02-05,5.16,0.2711428571428572,22.28125,,1,7,3.2824025289778698,-0.036880927291885406,6,2,0,12.9625,1.0517578125
base,long,MANH,273,273,1,0,2021-02-02,116.61,3.6807142857142856,4.41796875,,1,57,8.120706384630314,1.7659615757810985,7,22,0,12.9625,1.0517578125
base,long,MANH,323,323,1,0,2021-04-15,122.3,3.953614285714287,7.8125,,1,7,1.7351212091648502,0.9839098401824008,7,3,0,12.9625,1.0517578125
base,long,PPC,273,273,1,0,2021-02-02,17.036,0.5651637436726766,12.515625,,1,5,4.496924306874696,-0.007472247690221876,5,1,0,12.9625,1.0517578125
base,long,CIBR,276,276,1,0,2021-02-05,44.3783,0.825188399817374,-0.859375,,0,60,1.552466587797838,7.346277397534448,6,19,0,12.9625,1.0517578125
base,long,SSP,278,278,1,0,2021-02-09,16.4,0.6472214285714283,16.03125,,1,11,5.546787917581753,0.3708159053536524,11,1,0,12.9625,1.0517578125
base,long,UTHR,280,281,2,0,2021-02-12,167.64,5.065271428571429,6.4140625,,1,6,2.179547563379769,-0.021716506519185136,5,1,0,12.9625,1.0517578125
base,long,MFA,281,281,1,0,2021-02-12,7.9785,0.2278865264427145,6.79296875,,1,5,2.4819107472812116,1.1518708851278505,5,3,0,12.9625,1.0517578125
base,long,AXGN,282,282,1,0,2021-02-16,19.22,0.8871428571428576,9.28125,,1,3,2.1755233494363915,0.5861513687600637,3,1,0,12.9625,1.0517578125
base,long,SBCF,284,284,1,0,2021-02-18,29.656,1.0847452274910585,13.1640625,,1,43,6.053674911489943,-0.3671895141237333,16,1,0,12.9625,1.0517578125
base,long,WHD,284,284,1,0,2021-02-18,27.9972,1.150752011627045,10.0234375,,1,3,1.4486501764229096,0.1892334384020726,2,3,0,12.9625,1.0517578125
base,long,RNST,291,291,1,0,2021-03-01,35.1125,1.403049317541693,13.1328125,,1,39,4.2847186930499115,0.47039699072992075,13,36,0,12.9625,1.0517578125
base,long,RNST,293,293,1,0,2021-03-03,35.5917,1.3669722116662009,9.1640625,,1,37,4.04724513850818,0.8333674723560983,11,34,0,12.9625,1.0517578125
base,long,AUB,293,294,2,0,2021-03-04,31.6254,0.9925366945618688,7.375,,1,33,3.2794517134799626,1.3856531561108987,10,15,0,12.9625,1.0517578125
base,long,GFF,293,293,1,0,2021-03-03,20.5561,0.6327198652282361,10.3359375,,1,39,4.553802943456771,1.1970732767140266,9,1,0,12.9625,1.0517578125
base,long,CLH,294,294,1,0,2021-03-04,85.42,2.515714285714284,7.43359375,,1,42,2.5917092561044863,1.6377058489494636,4,15,0,12.9625,1.0517578125
base,long,ESI,295,295,1,0,2021-03-05,17.2763,0.6663273892650246,15.1015625,,1,36,3.54760318848533,1.4723428438393427,3,14,0,12.9625,1.0517578125
base,long,AMWD,296,296,1,0,2021-03-08,96.97,4.281435714285713,5.125,,1,56,2.7654274851059655,1.6454760669401627,4,51,0,12.9625,1.0517578125
base,long,ASTE,296,296,1,0,2021-03-08,66.8515,2.69358459682133,10.5703125,,1,40,3.189229974113141,1.286794589268139,36,13,0,12.9625,1.0517578125
base,long,DRH,296,296,1,0,2021-03-08,9.0647,0.511870256328361,9.234375,,1,41,2.298464735521979,1.3582985273881651,8,31,0,12.9625,1.0517578125
base,long,IOSP,296,297,2,0,2021-03-09,94.8566,2.7189640391503693,1.638671875,,1,38,1.9887646574808255,2.5740686908442094,18,32,0,12.9625,1.0517578125
base,long,MOD,298,298,1,0,2021-03-10,15.25,0.7692857142857141,13.96875,,1,53,2.625812441968431,1.676880222841225,42,11,0,12.9625,1.0517578125
base,long,KMT,299,299,1,0,2021-03-11,35.5803,1.5568078919224106,4.78515625,,1,35,1.0090825983259348,2.2898963999431796,17,10,0,12.9625,1.0517578125
base,long,HSIC,310,310,1,0,2021-03-26,67.98,1.7995499999999984,7.2265625,,1,25,3.795393292767639,0.5945930927176285,20,1,0,12.9625,1.0517578125
base,long,NEOG,311,312,2,0,2021-03-30,43.46,1.4112428571428555,11.0546875,,0,60,3.81932845414883,0.13817607579944766,18,1,0,12.9625,1.0517578125
base,long,COF,312,312,1,0,2021-03-30,117.4714,3.5479525034288923,19.65625,,1,18,2.9308408327504525,0.4249490974202023,18,1,0,12.9625,1.0517578125
base,long,COF,395,395,1,0,2021-07-28,147.8482,4.634119507703788,5.13671875,,0,60,3.534227645179578,1.607772786839088,12,29,0,12.9625,1.0517578125
base,long,CW,313,313,1,0,2021-03-31,116.4093,3.1356981601348477,9.828125,,1,23,3.8375798472590197,0.11895709679995467,20,1,0,12.9625,1.0517578125
base,long,MSFT,313,313,1,0,2021-03-31,226.2354,4.161363574807,6.91796875,,1,17,6.148612045250843,-0.5257625505860474,17,1,0,12.9625,1.0517578125
base,long,BG,316,317,2,0,2021-04-07,68.7094,1.692565535970314,10.0703125,,1,18,5.300352397611341,0.7128953467454363,14,1,0,12.9625,1.0517578125
base,long,BG,322,322,1,0,2021-04-14,69.9773,1.5645300530295907,10.0703125,,1,13,4.9237109774770715,0.6874638267543385,9,1,0,12.9625,1.0517578125
base,long,UMH,317,317,1,0,2021-04-07,15.4512,0.4034325061467024,12.4296875,,1,20,4.75787626073617,1.1943777518546879,19,6,0,12.9625,1.0517578125
base,long,SWK,319,319,1,0,2021-04-09,169.8661,3.376602278180767,10.4921875,,1,12,2.3694535591696266,0.2516396462857438,11,3,0,12.9625,1.0517578125
base,long,CHEF,320,320,1,0,2021-04-12,32.84,1.4867785714285715,1.248046875,,1,11,1.8328216806230113,1.36536807767513,10,6,0,12.9625,1.0517578125
