date,open,high,low,close,volume,ema8,ema21,spread,spread_pct
2020-12-15,367.400000,369.590000,365.920000,369.590000,63865300,367.003754,363.081808,3.921946,1.061161
2020-12-16,369.820000,371.160000,368.870000,370.170000,58420500,367.707364,363.726189,3.981175,1.075499
2020-12-17,371.940000,372.460000,371.050000,372.240000,64119500,368.714617,364.500172,4.214445,1.132185
2020-12-18,370.970000,371.150000,367.020000,369.180000,136542300,368.818035,364.925611,3.892424,1.054343
2020-12-21,364.970000,378.460000,362.030000,367.860000,96386700,368.605138,365.192374,3.412765,0.927735
2020-12-22,368.210000,368.330000,366.030000,367.240000,47949000,368.301774,365.378521,2.923253,0.796006
2020-12-23,368.280000,369.620000,367.220000,367.570000,46201400,368.139158,365.577747,2.561411,0.696850
2020-12-24,368.080000,369.030000,367.450000,369.000000,26457900,368.330456,365.888861,2.441595,0.661679
2020-12-28,371.740000,372.590000,371.070000,372.170000,39000400,369.183688,366.459873,2.723815,0.731874
2020-12-29,373.810000,374.000000,370.830000,371.460000,53680500,369.689535,366.914430,2.775105,0.747080
2020-12-30,372.340000,373.100000,371.570000,371.990000,49455300,370.200750,367.375846,2.824904,0.759403
2020-12-31,371.780000,374.660000,371.230000,373.880000,78520700,371.018361,367.967133,3.051228,0.816098
2021-01-04,375.310000,375.450000,364.820000,368.790000,110210800,370.523169,368.041939,2.481231,0.672803
2021-01-05,368.100000,372.500000,368.050000,371.330000,66426200,370.702465,368.340853,2.361612,0.635987
2021-01-06,369.710000,376.980000,369.120000,373.550000,107997700,371.335251,368.814412,2.520839,0.674833
2021-01-07,376.100000,379.900000,375.910000,379.100000,68766800,373.060751,369.749466,3.311285,0.873460
2021-01-08,380.590000,381.490000,377.100000,381.260000,71677200,374.882806,370.795878,4.086928,1.071953
2021-01-11,377.850000,380.580000,377.720000,378.690000,51034700,375.728849,371.513525,4.215324,1.113133
2021-01-12,378.890000,379.860000,376.360000,378.770000,52547700,376.404660,372.173205,4.231456,1.117157
2021-01-13,378.690000,380.860000,377.850000,379.790000,45303600,377.156958,372.865641,4.291317,1.129918
2021-01-14,380.590000,381.130000,378.100000,378.460000,49989100,377.446523,373.374219,4.072304,1.076020
2021-01-15,376.720000,377.580000,373.700000,375.700000,107160000,377.058407,373.585653,3.472753,0.924342
2021-01-19,378.340000,379.230000,376.750000,378.650000,51233300,377.412094,374.046049,3.366046,0.888960
2021-01-20,381.110000,384.790000,380.690000,383.890000,61836100,378.851629,374.940953,3.910675,1.018697
2021-01-21,384.490000,384.950000,383.250000,384.240000,47840100,380.049045,375.786321,4.262723,1.109391
2021-01-22,382.250000,384.130000,381.840000,382.880000,52860500,380.678146,376.431201,4.246945,1.109210
2021-01-25,383.670000,384.770000,378.460000,384.390000,70402000,381.503002,377.154728,4.348274,1.131214
2021-01-26,385.410000,385.850000,383.540000,383.790000,42665300,382.011224,377.757935,4.253289,1.108233
2021-01-27,380.220000,380.320000,372.010000,374.410000,123351100,380.322063,377.453577,2.868486,0.766135
2021-01-28,376.360000,381.930000,375.890000,377.630000,94198100,379.723827,377.469616,2.254211,0.596937
2021-01-29,375.630000,376.670000,368.270000,370.070000,126765100,377.578532,376.796923,0.781609,0.211206
2021-02-01,373.720000,377.340000,370.380000,376.230000,75817600,377.278858,376.745385,0.533474,0.141795
2021-02-02,379.650000,383.220000,376.320000,381.550000,64450700,378.228001,377.182168,1.045833,0.274101
2021-02-03,382.440000,383.700000,380.480000,381.850000,52427100,379.032890,377.606516,1.426373,0.373543
2021-02-04,382.960000,386.240000,381.970000,386.190000,47142600,380.623359,378.386833,2.236526,0.579126
2021-02-05,388.200000,388.470000,386.140000,387.710000,48669800,382.198168,379.234394,2.963774,0.764431
2021-02-08,389.270000,390.560000,388.350000,390.510000,38365200,384.045242,380.259449,3.785793,0.969448
2021-02-09,389.610000,390.890000,389.170000,390.250000,35551100,385.424077,381.167681,4.256396,1.090684
2021-02-10,392.120000,392.280000,387.500000,390.080000,59154400,386.458726,381.977892,4.480835,1.148696
2021-02-11,391.240000,391.690000,388.100000,390.710000,42913300,387.403454,382.771720,4.631734,1.185466
2021-02-12,389.850000,392.900000,389.770000,392.640000,50593300,388.567131,383.668836,4.898295,1.247528
2021-02-16,393.960000,394.170000,391.530000,392.300000,50972400,389.396657,384.453487,4.943170,1.260048
2021-02-17,390.420000,392.660000,389.330000,392.390000,52290600,390.061845,385.174988,4.886856,1.245408
2021-02-18,389.590000,391.520000,387.740000,390.720000,59712800,390.208101,385.679080,4.529021,1.159147
2021-02-19,392.070000,392.380000,389.550000,390.030000,83241000,390.168523,386.074619,4.093905,1.049638
2021-02-22,387.060000,389.620000,386.740000,387.030000,67414200,389.471074,386.161471,3.309602,0.855128
2021-02-23,384.660000,388.950000,380.200000,387.500000,107284100,389.033057,386.283156,2.749901,0.709652
