setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
bf,breakout,RGTI,2025-10-02,long,1117,35.4,30.46,3.312714285714285,1,-0.10565354262797061,WIN,8,1.0,1
bf,breakout,RKLB,2024-09-11,long,953,6.68,6.15,0.3712142857142857,1,0.1346930921685583,WIN,43,2.0,1
bf,breakout,SNBR,2021-01-06,long,255,86.77,82.83,4.318207142857145,1,0.25473534816863336,WIN,27,2.0,1
bf,breakout,SOUN,2024-11-21,long,646,6.98,6.38,0.6526785714285716,1,-0.3064295485636103,WIN,26,1.0,1
bf,breakout,TSE,2020-12-04,long,234,39.4692,36.76043969394853,1.3814428814659887,6,0.8545201948729181,WIN,39,3.0,1
bf,breakout,TSLA,2024-12-05,long,1240,369.49,359.5,14.35928571428572,1,-0.0912301646520421,WIN,13,1.0,1
bf,breakout,UAMY,2025-10-01,long,1443,7.55,6.67,0.712142857142857,1,0.4633901705115348,WIN,13,3.0,0
bf,breakout,UAN,2022-03-17,long,556,60.9084,57.55040336576387,3.674719485340975,1,-0.13219066950208816,WIN,22,1.0,1
bf,breakout,UPST,2021-08-24,long,172,219.45,204.2,15.142000000000005,2,0.5415400871747448,WIN,39,6.0,1
bf,breakout,WULF,2025-09-09,long,1404,10.3,9.13,0.6632642857142856,4,0.38732674973346104,WIN,25,3.0,1
htf,breakout,AFG,2021-02-04,long,275,57.3097,54.88414423236514,1.9567505835511665,1,0.3524165669413022,WIN,60,2.0,1
htf,breakout,AGO,2023-12-19,long,998,70.444,69.40124342105264,1.3199979181975061,2,0.34373280075857177,WIN,45,3.0,1
htf,breakout,AR,2020-12-17,long,243,5.17,4.78,0.40642857142857153,7,0.09841827768014066,WIN,39,3.0,1
htf,breakout,ASTS,2024-05-28,long,1057,5.33,4.65,0.6300785714285715,1,-0.5554862772216611,WIN,53,1.0,1
htf,breakout,BB,2024-12-20,long,1251,3.69,2.98,0.22035714285714286,1,0.3630470016207459,WIN,38,2.0,1
htf,breakout,CHEF,2024-12-03,long,1238,45.0,43.95,1.2496428571428564,1,0.160045727350674,WIN,46,2.0,1
htf,breakout,CLNE,2020-11-20,long,225,3.48,3.15,0.2139142857142857,1,-0.8414585281154009,WIN,58,1.0,1
htf,breakout,CR,2023-10-31,long,149,96.0063,92.2579804685092,3.2015002844158573,1,0.4174927690041714,WIN,59,2.0,1
htf,breakout,CRCL,2025-06-13,long,7,133.56,108.8,20.944499999999998,2,-0.47601995750674403,WIN,39,1.0,1
htf,breakout,EOSE,2025-09-18,long,1328,9.0,8.44,0.6292142857142858,1,-0.270178226813486,WIN,33,1.0,1
htf,breakout,EQX,2025-08-22,long,1417,8.0125,7.762733790523691,0.31627563290024974,1,-0.12621526203310124,WIN,45,1.0,0
htf,breakout,FORM,2026-01-08,long,1512,64.52,60.83,1.8851500000000005,1,0.25462164814470445,WIN,17,2.0,1
htf,breakout,FTDR,2024-08-06,long,1155,44.71,43.215,1.700049999999999,1,0.5470427340372344,WIN,62,5.0,1
htf,breakout,GME,2021-01-22,long,266,16.2525,10.58,1.8105357142857146,1,0.535753032843476,WIN,2,2.0,1
htf,breakout,HTOO,2020-11-25,long,167,548.8,533.75,31.674750000000014,1,0.08839848775444016,WIN,8,2.0,1
htf,breakout,HTT,2021-01-12,long,259,1.91,1.56,0.12499999999999997,1,1.6,WIN,24,6.0,1
htf,breakout,LMND,2024-11-05,long,1093,25.05,23.5,1.2619571428571421,1,-0.9826007222341707,WIN,19,1.0,1
htf,breakout,LMND,2024-11-06,long,1094,29.29,26.29,1.4266071428571423,1,1.6823131806233569,WIN,18,3.0,1
htf,breakout,MOD,2023-06-02,long,860,30.44,27.44,1.2771428571428574,1,1.1744966442953018,WIN,40,3.0,1
htf,breakout,NHI,2024-03-04,long,1048,52.4149,51.413455305356536,1.38081880124922,1,0.6864009189766109,WIN,20,6.0,1
htf,breakout,OGI,2021-02-08,long,277,13.2,9.92,1.0642857142857143,10,2.668456375838926,WIN,10,1.0,1
htf,breakout,OSCR,2024-01-24,long,728,11.69,11.38,0.7491428571428572,1,0.22025171624713843,WIN,9,2.0,1
