setup,direction,ticker,entry_date,signal_idx,entry_idx,signal_close,adr14,real_stop_dist_adr,fw_min_adr,fw_max_adr,fw_first_adr,fw_last_adr
base,long,FTAI,2025-12-30,2511,2512,172.5385,5.562,-0.691,-0.691,-4.5231,-0.691,-4.5231
base,long,IONQ,2025-09-11,1176,1177,43.86,2.1644,0.2218,0.2218,-5.5857,0.2218,-5.5857
base,long,IONQ-WS,2025-09-09,401,402,41.01,2.2723,-0.0154,-0.0154,-1.1222,-0.0154,-1.043
base,long,IREN,2025-06-24,900,901,10.66,0.6609,-0.3934,-0.3934,-1.6494,-0.3934,-1.4224
base,long,KTOS,2025-05-16,2355,2356,34.39,1.3573,0.2726,0.2726,-0.3696,0.2726,-0.3696
base,long,KTOS,2025-09-11,2435,2436,65.66,2.6887,0.0223,0.0223,-0.8331,0.0223,-0.8331
base,long,LNG,2021-04-23,1334,1335,69.4962,1.6205,0.4835,0.4835,-0.8787,0.4835,-0.8787
base,long,METC,2021-07-26,1124,1125,5.0334,0.2673,0.0631,0.0631,-1.1929,0.0631,-1.1929
base,long,PAG,2021-09-15,1434,1435,80.7772,1.8287,0.1278,0.1278,-2.5446,0.1278,-2.5446
base,long,PSIX,2025-05-12,2277,2278,30.36,2.1771,-0.294,-0.294,-1.6352,-0.294,-1.6352
base,long,PTON,2024-10-14,1269,1270,4.91,0.2921,0.5472,0.5472,-0.8218,0.5472,-0.8218
base,long,QXO,2025-06-06,2369,2370,16.75,0.8614,-1.1609,-1.1609,-3.6335,-1.1609,-3.6335
base,long,RCAT,2024-11-05,2224,2225,3.27,0.2415,0.4141,0.4141,0.0,0.4141,0.2484
base,long,RGTI,2025-09-12,1102,1103,16.69,0.9916,0.0303,0.0303,-2.2488,0.0303,-2.2488
base,long,RH,2020-07-15,1139,1140,267.22,10.6232,-0.2207,-0.2207,-1.1118,-0.2207,-1.1118
base,long,SA,2025-08-29,2427,2428,16.5,0.5321,0.094,0.094,-1.7852,0.094,-1.7852
base,long,SFM,2023-11-30,1990,1991,41.62,0.8461,0.4136,0.4136,-2.8364,0.4136,-2.8364
base,long,SIMO,2021-12-03,1490,1491,65.6978,2.0851,-0.1923,-0.1923,-2.7968,-0.1923,-2.7968
base,long,SKY,2021-11-03,1469,1470,64.85,2.1457,-1.9621,-1.9621,-3.5419,-1.9621,-3.5419
base,long,SNBR,2020-10-02,1195,1196,49.46,2.1432,0.6112,0.6112,-1.4791,0.6112,-1.4791
base,long,SNDK,2025-08-22,130,131,45.5,2.1366,-0.0608,-0.0608,-0.585,-0.0608,-0.585
base,long,SNDK,2026-01-02,221,222,237.38,17.3813,-0.3809,-0.3809,-2.9411,-0.3809,-2.9411
base,long,SOUN,2024-11-21,645,646,6.44,0.604,0.0993,0.0993,-2.3677,0.0993,-2.3677
base,long,STRL,2025-09-10,2434,2435,286.69,12.0125,-0.3588,-0.3588,-2.0712,-0.3588,-2.0712
base,long,TSLA,2025-09-11,2435,2436,347.79,11.285,0.0168,0.0168,-4.8418,0.0168,-4.8418
base,long,VITL,2024-02-20,892,893,15.62,0.4368,0.4121,0.4121,-2.3123,0.4121,-2.3123
base,long,WLDN,2025-05-09,2350,2351,40.56,1.2907,-0.0077,-0.0077,-3.0448,-0.0077,-3.0448
bf,long,AA,2025-12-11,2499,2500,44.567,1.6448,0.0849,0.0849,-0.7163,0.0849,-0.4613
bf,long,AMPX,2025-07-02,699,700,3.91,0.3593,-0.0278,-0.0278,-1.6144,-0.0278,-1.6144
bf,long,ANF,2023-11-01,1970,1971,60.82,2.2958,0.2657,0.2657,-1.2654,0.2657,-1.2654
bf,long,ANF,2023-11-02,1971,1972,62.13,2.2579,-0.0443,-0.0443,-1.2135,-0.0443,-1.2135
bf,long,APLD,2025-10-01,1562,1563,22.94,1.6471,0.3886,0.3886,-1.9793,0.3886,-1.411
bf,long,AXON,2021-02-04,1280,1281,167.55,8.2429,0.1844,0.1844,-1.0882,0.1844,-1.0882
bf,long,AXTI,2025-10-24,2466,2467,5.18,0.4919,-0.4473,-0.4473,-1.7485,-0.4473,-1.7485
bf,long,BE,2025-07-23,1756,1757,25.93,1.4256,0.1333,0.1333,-5.1067,0.1333,-5.1067
bf,long,BIOA,2025-11-17,285,286,7.8,0.4377,-0.0914,-0.0914,-0.731,-0.0914,-0.731
bf,long,BLDP,2021-01-06,1260,1261,23.08,1.312,-0.0915,-0.0915,-3.7195,-0.0915,-3.7195
bf,long,DAC,2020-12-04,1239,1240,10.7639,0.9979,-0.0412,-0.0412,-0.8075,-0.0412,-0.8075
bf,long,EH,2021-01-05,266,267,21.24,2.7346,0.0804,0.0804,-0.9361,0.0804,-0.9361
bf,long,EOSE,2025-09-12,1323,1324,7.22,0.5429,0.0903,0.0903,-1.8237,0.0903,-1.3079
bf,long,EOSE,2025-09-18,1327,1328,8.5,0.6053,0.0991,0.0991,-2.2304,0.0991,-2.2304
bf,long,EQX,2025-08-22,2268,2269,7.8926,0.3106,0.4182,0.4182,-0.6434,0.4182,-0.6434
bf,long,GDXU,2025-08-21,1181,1182,93.65,5.5759,0.2224,0.2224,-1.6141,0.2224,-1.6141
bf,long,HROW,2024-09-10,2184,2185,39.32,2.06,-0.0485,-0.0485,-0.9709,-0.0485,-0.9709
bf,long,HUT,2025-10-01,1855,1856,34.81,2.4126,0.11,0.11,-1.6958,0.11,-1.6958
bf,long,HYMC,2025-12-11,1949,1950,11.66,0.8603,0.2441,0.2441,-1.0345,0.2441,-1.0345
bf,long,IONQ,2024-11-07,967,968,16.45,1.5279,0.1047,0.1047,-3.1809,0.1047,-3.1744
bf,long,IREN,2024-06-03,636,637,7.79,0.6954,-0.2445,-0.2445,-1.0929,-0.2445,-1.0929
bf,long,IREN,2025-06-23,899,900,10.47,0.6226,1.0359,1.0359,-2.0558,1.0359,-2.0558
bf,long,IREN,2025-06-24,900,901,10.66,0.6609,-0.3934,-0.3934,-1.6494,-0.3934,-1.4224
