setup,ticker,entry_date,cluster_size,offset_from_rm,is_entry_max_high_in_cluster_to_entry,is_entry_max_close_in_cluster_to_entry,new_20d_high,new_50d_high,new_100d_high,new_20d_close,new_50d_close,dist_to_pre20_high_adr,dist_to_pre50_high_adr,dist_to_pre100_high_adr,entry_rng_adr,close_pos,adr
bf,REAL,2024-11-13,1,1,True,True,True,True,True,True,True,0.4058912211527298,0.4058912211527298,0.4058912211527298,1.7859213730720154,0.7045454545454545,0.24637142857142846
bf,RGTI,2024-12-06,1,1,True,True,True,True,True,True,True,1.4726077428780124,1.4726077428780124,1.4726077428780124,2.2089116143170187,0.9907407407407409,0.4889285714285715
bf,RGTI,2025-10-02,1,1,True,True,True,True,True,True,True,0.3018672646513434,0.3018672646513434,0.3018672646513434,1.6149898658846875,0.9233644859813077,3.312714285714285
bf,RKLB,2024-09-11,1,1,True,True,False,False,False,False,False,-1.8318260534924011,-1.8318260534924011,-1.8318260534924011,1.478930152010774,0.9653916211293257,0.3712142857142857
bf,SNBR,2021-01-06,1,1,True,True,False,False,False,False,False,-0.74799561325881,-0.74799561325881,-0.74799561325881,0.98883630607279,0.9227166276346608,4.318207142857145
bf,SOUN,2024-11-21,1,1,True,True,False,False,False,False,False,-1.3176470588235283,-1.3176470588235283,-1.3176470588235283,1.378932968536252,0.666666666666667,0.6526785714285716
bf,TSE,2020-12-04,2,5,True,True,True,True,True,True,True,0.980370745505531,0.980370745505531,0.980370745505531,1.9806927919439659,0.9899665551839498,1.3814428814659887
bf,TSLA,2024-12-05,2,1,True,True,True,True,True,True,True,0.5264885837934636,0.5264885837934636,0.5264885837934636,1.1093866587076555,0.6271186440677969,14.35928571428572
bf,UAMY,2025-10-01,1,1,True,True,False,False,False,True,True,-0.8706118355065199,-0.8706118355065199,-0.8706118355065199,1.4182547642928787,0.8712871287128714,0.712142857142857
bf,UAN,2022-03-17,2,1,True,True,False,False,False,True,True,-0.3602772783931618,-0.3602772783931618,-0.3602772783931618,1.1383839431353355,0.8027259501263426,3.674719485340975
bf,UPST,2021-08-24,1,1,True,True,True,True,True,True,True,-0.0435873728701641,-0.0435873728701641,-0.0435873728701641,1.0896843217540613,0.9242424242424242,15.142000000000005
bf,WULF,2025-09-09,1,1,True,True,False,False,False,True,True,-0.6180040276985022,-0.6180040276985022,-0.6180040276985022,1.7941566063947785,0.9831932773109248,0.6632642857142856
base,AMN,2021-04-22,1,1,True,True,True,False,False,True,False,0.5808885163453529,-1.2967309304274892,-1.2967309304274892,1.2556580050293373,0.8130841121495368,1.7042857142857153
base,APP,2024-09-11,1,1,True,True,True,True,True,True,True,0.9062928640727956,0.9062928640727956,0.9062928640727956,2.5713425445786333,0.9517304189435335,4.270142857142857
base,ASTS,2025-06-04,1,1,True,True,True,False,False,True,False,-0.2179808228776059,-0.5449520571940147,-4.117415543243674,2.234182334038311,0.8916201420131176,1.6515214285714295
base,ATI,2025-12-10,2,1,True,True,True,True,True,True,True,0.873000619300831,0.32588036816366717,0.32588036816366717,1.8805390052747317,0.8426073131955492,3.3447857142857154
