feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry,class
aroon_up_7,97.84418,5.676674,62.129738,5.6692543,6.2996716,73,fade
st_h_gt_maxh5_1_30,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73,fade
st_h_gt_maxh5_1_20,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73,fade
st_h_gt_maxh5_1_50,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73,fade
st_h_gt_maxh5_1_10,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73,fade
st_h_gt_maxh5_1_15,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73,fade
aroon_up_10,97.26028,11.088066,73.49315,6.0985074,3.8972042,73,fade
ct_h_gt_maxh5_1_3,2.2054794,0.7062992,0.6130137,0.42235845,3.7704127,73,fade
ct_h_gt_maxh10_1_3,2.1232877,0.76276565,0.59931505,0.4512793,3.3770053,73,fade
st_h_gt_maxh10_1_10,0.2739726,1.1088065,2.6027398,0.72909737,3.1940415,73,fade
tir_h_gt_maxh5_1_5,2.2328768,1.6374142,0.0,0.73227394,3.049237,73,fade
tir_h_gt_maxh10_1_5,2.0821917,1.5612804,0.0,0.6982258,2.982118,73,fade
tir_h_gt_maxh20_1_5,1.7397261,1.3231633,0.0,0.5917366,2.9400344,73,fade
ct_h_gt_maxh20_1_3,1.9178082,0.81229144,0.57191783,0.48406893,2.780369,73,fade
tir_h_gt_maxh5_1_30,2.369863,1.9401236,0.0,0.8676496,2.7313595,73,fade
tir_h_gt_maxh5_1_15,2.369863,1.9401236,0.0,0.8676496,2.7313595,73,fade
tir_h_gt_maxh5_1_10,2.369863,1.9401236,0.0,0.8676496,2.7313595,73,fade
tir_h_gt_maxh5_1_20,2.369863,1.9401236,0.0,0.8676496,2.7313595,73,fade
tir_h_gt_maxh10_1_30,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73,fade
tir_h_gt_maxh10_1_15,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73,fade
tir_h_gt_maxh10_1_20,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73,fade
tir_h_gt_maxh10_1_10,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73,fade
tir_h_gt_h1_5,2.5616438,1.7239032,0.19863014,0.8704956,2.7145612,73,fade
st_cci14_gt_100_10,0.12328767,0.4392292,2.25,0.80613136,2.638171,73,fade
tir_h_gt_maxh20_1_30,1.8082192,1.5425223,0.0,0.6898369,2.621227,73,fade
tir_h_gt_maxh20_1_20,1.8082192,1.5425223,0.0,0.6898369,2.621227,73,fade
