feature,mean_winner,mean_loser,std_winner,std_loser,n_winner,n_loser,sep_z
m_tir_aroon_down14_gt_70_10,0.0,0.06421299921691465,0.0,0.6640892448524471,92,1277,0.1367450159404264
w_nr_h_maxh80_pct,15.146390741521662,9.278043305112478,37.6485577894755,47.608244646712656,88,1049,0.13673302761978537
st_es_ext200_rsi14_lt_30_30,12.478260869565217,11.178543461237275,8.69189120769261,10.258618675264284,92,1277,0.13670325559321492
m_tir_es_ext50_rsi14_gt_70_30,0.6739130434782609,0.40798747063429913,2.065460040564488,1.8173748955057893,92,1277,0.1366962237850681
m_st_avgc50_rising_50,0.12244897959183673,0.44288577154308617,1.8555396010013783,2.74817290325823,49,499,0.13666277862943457
m_ct_c_gt_xavgc50_10,3.097826086956522,2.554424432263117,4.073661804432765,3.876772271626019,92,1277,0.13665545694403938
tir_es_ext200_roc5_neg_30,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
st_es_ext200_roc5_pos_15,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
st_es_ext200_roc5_pos_30,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
tir_es_ext200_roc5_neg_15,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
tir_es_ext200_roc5_neg_20,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
tir_es_ext200_roc5_neg_10,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
st_es_ext200_roc5_pos_50,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
st_es_ext200_roc5_pos_20,0.3804347826086957,0.22083007047768208,1.4513532245849523,0.7886965558131239,92,1277,0.13664735814190968
w_tir_cmf20_negative_15,1.858695652173913,1.3469068128425998,4.0180404215775924,3.4517861763353865,92,1277,0.13663627873813702
slope_avgc100_off10_atr14,0.5016600567361583,0.5363161031772312,0.26883672221724736,0.23748076283280006,92,1277,0.13663276743448458
m_gap_count_50_t1.0,0.12244897959183673,0.08016032064128256,0.331200660553418,0.28620767579404843,49,499,0.1366253495342739
w_ct_c_gt_c1_20,11.467391304347826,11.258418167580267,1.478424220198186,1.579830256719325,92,1277,0.13658664047363872
w_st_adx14_lt_20_20,1.9130434782608696,2.7267032106499607,5.754410012459615,6.154720097873149,92,1277,0.13656756528608666
m_ct_xavgc8_rising_15,11.274725274725276,10.843543046357615,3.18351983420844,3.131398785855562,91,1208,0.13655521739771306
w_ext_xavgc30_pct,8.621770236803139,10.050925724564255,12.652282080751803,7.684866449945481,92,1277,0.13653255351737492
cmf_slope_30_off3,0.033886411267778145,0.024890660959570876,0.07337695206004373,0.057447229587120355,92,1277,0.13651596677785496
w_stack_4ma,4.1521739130434785,3.9537979639780736,1.4820151310100587,1.4236785325926395,92,1277,0.1365154102401222
m_slope_xavgc9_off5_atr14,0.7561692457932693,0.810192201958328,0.4363678682933734,0.3504359390293049,91,1220,0.13651080607008298
w_tir_diplus_gt_diminus_15,7.4021739130434785,8.216914643696162,6.178765093391396,5.7514421418771695,92,1277,0.1364969732795403
w_ct_es_ext50_rsi14_lt_30_30,1.5869565217391304,1.2991386061080659,2.1491228668901106,2.0673853848567694,92,1277,0.1364939116503832
level_above3_break_count,830.5384615384615,1262.5902964959569,1403.679884610996,4251.3162634918035,26,371,0.13647672015052945
w_ct_avgc50_falling_3,0.05434782608695652,0.1096319498825372,0.3097013958809466,0.4821675255968204,92,1277,0.13643114965002592
w_nr_c_maxh80_atr14,2.2328976717862217,1.7403357917632911,2.77730764664946,4.2860325819250615,88,1049,0.13639321109786975
ct_xavgc21_falling_15,4.195652173913044,3.793265465935787,3.0499112955387013,2.8471266496410785,92,1277,0.1363901710448825
ct_c_lt_xavgc21_15,4.195652173913044,3.793265465935787,3.0499112955387013,2.8471266496410785,92,1277,0.1363901710448825
ct_xavgc21_rising_15,10.804347826086957,11.206734534064212,3.0499112955386996,2.8471266496410794,92,1277,0.13639017104488207
ct_c_gt_xavgc21_15,10.804347826086957,11.206734534064212,3.0499112955386996,2.8471266496410794,92,1277,0.13639017104488207
m_st_es_ext50_cci14_lt_neg100_15,-0.8791208791208791,-0.7094370860927153,0.8542074277775449,1.5385174588491182,91,1208,0.13636576480841775
nr_c_maxh100_pct,5.17031943279764,3.767864442329063,12.639191567801726,7.206998734075224,92,1277,0.13631817538837915
w_tir_es_ext200_slope1_neg_10,0.45555555555555555,0.375497215592681,0.564116314229632,0.6096133486929738,90,1257,0.13631462883635728
w_tir_es_ext200_slope1_neg_15,0.45555555555555555,0.375497215592681,0.564116314229632,0.6096133486929738,90,1257,0.13631462883635728
w_tir_es_ext200_slope1_neg_20,0.45555555555555555,0.375497215592681,0.564116314229632,0.6096133486929738,90,1257,0.13631462883635728
w_tir_es_ext200_slope1_neg_5,0.45555555555555555,0.375497215592681,0.564116314229632,0.6096133486929738,90,1257,0.13631462883635728
w_tir_es_ext200_slope1_neg_30,0.45555555555555555,0.375497215592681,0.564116314229632,0.6096133486929738,90,1257,0.13631462883635728
nr_c_maxh105_pct,5.17031943279764,3.767935657977311,12.639191567801726,7.206963242792821,92,1277,0.13631141795537546
m_ct_l_lt_minl10_1_15,0.4835164835164835,0.6357615894039735,1.0259157141320394,1.2012611087167728,91,1208,0.1362940282055955
ext_adr_avgc200,6.309591542119565,6.068750152946358,1.8235866908970126,1.7110471398928504,92,1277,0.1362061359596088
dist_from_avgc200_adr14,6.309591542119565,6.068750152946358,1.8235866908970126,1.7110471398928504,92,1277,0.1362061359596088
ext_avgc200_adr14,6.309591542119565,6.068750152946358,1.8235866908970126,1.7110471398928504,92,1277,0.1362061359596088
m_gap_count_30_t0.3,0.5466666666666666,0.42191435768261965,1.0039561384482532,0.8188038288775386,75,794,0.13618210468285036
w_ct_avgc200_rising_5,1.8695652173913044,1.5512920908379013,2.4052021975469273,2.2670272415976522,92,1277,0.1361808279359705
undercut_xavgc50_120_adr14,-2.433596403702446,-2.5539262094998043,0.8843638329928429,0.8834294246437123,92,1277,0.1361355899148288
m_ct_c_lt_xavgc21_15,3.3076923076923075,2.725165562913907,4.606016132775114,3.932187714379406,91,1208,0.1360288711599016
m_slope_xavgc9_off15_adr14,1.7298968922008167,1.5350720782079295,1.4592182218320304,1.4056244763862147,88,998,0.13598703479673394
ct_v_gt_avgv50_7,2.402173913043478,2.6664056382145653,2.0167419193892617,1.866611602060333,92,1277,0.1359827197462547
w_ct_c_gt_xavgc13_50,35.84615384615385,35.00558659217877,5.91593531052281,6.437519868380564,91,1253,0.13596504172603807
ct_l_gt_xavgc8_5,3.0652173913043477,2.859044635865309,1.524916483579354,1.5097976868495029,92,1277,0.13587454061333015
m_slope_xavgc12_off15_adr14,1.4015962531767696,1.1871169758167766,1.6791031005863912,1.4712817801835627,83,881,0.1358653845319043
w_slope_avgc10_off7_adr14,0.5769030736840289,0.6574214644607568,0.6285990737099142,0.5544518243932484,92,1277,0.13585334813168481
