setup,class,ticker,entry_date,direction,entry_idx,entry_close,adr,stop,stop_distance_adr,outcome,reason,bars,move_adr,had_earnings,status
bf,breakout,MSTR,2024-02-26,long,1043.0,79.648,5.221904859546377,68.794,2.0785518487870114,WIN,exit_fired,21.0,20.691874499104976,1.0,done
bf,breakout,MU,2025-10-01,long,1444.0,181.8861,5.822266379064351,165.26022261872083,2.8555679693842824,WIN,exit_fired,34.0,7.973819296028276,1.0,done
bf,breakout,ONDS,2025-08-22,long,1216.0,4.489999771118164,0.48928573727607727,3.799999952316284,1.4102185415074762,WIN,exit_fired,36.0,12.09926966040625,1.0,done
bf,breakout,OSCR,2024-01-24,long,728.0,11.69,0.7491428571428572,11.38,0.4138062547673514,WIN,earnings_flat_favorable,9.0,2.536231884057971,1.0,done
bf,breakout,QBTS,2024-11-21,long,992.0,1.97,0.2537142857142857,1.71,1.0247747747747749,WIN,exit_fired,22.0,23.56981981981982,1.0,done
bf,breakout,QUBT,2024-12-16,long,1243.0,11.08,1.629785714285714,6.83,2.6077047815225494,WIN,exit_fired,1.0,3.503528071175001,1.0,done
bf,breakout,QXO,2025-06-06,long,1364.0,19.0,0.9400000000000003,17.75,1.3297872340425527,WIN,exit_fired,11.0,4.797872340425532,1.0,done
bf,breakout,REAL,2024-11-13,long,1225.0,4.14,0.24637142857142846,3.83,1.2582627855734654,WIN,exit_fired,32.0,27.560013916270453,1.0,done
bf,breakout,RGTI,2024-12-06,long,913.0,4.38,0.4889285714285715,3.31,2.1884587289992687,WIN,exit_fired,20.0,28.654492330168004,1.0,done
bf,breakout,RGTI,2025-10-02,long,1117.0,35.4,3.312714285714285,30.46,1.4912242873776356,WIN,exit_fired,8.0,6.254689723575835,1.0,done
bf,breakout,RKLB,2024-09-11,long,953.0,6.68,0.3712142857142857,6.15,1.4277467769867214,WIN,earnings_flat_favorable,43.0,21.82028093130652,1.0,done
bf,breakout,SNBR,2021-01-06,long,255.0,86.77,4.318207142857145,82.83,0.9124157016222001,WIN,earnings_flat_favorable,27.0,8.276583039588187,1.0,done
bf,breakout,SOUN,2024-11-21,long,646.0,6.98,0.6526785714285716,6.38,0.9192886456908351,WIN,exit_fired,26.0,19.703419972640216,1.0,done
bf,breakout,TSE,2020-12-04,long,234.0,39.4692,1.3814428814659887,36.76043969394853,1.9608196201184478,WIN,earnings_flat_favorable,39.0,7.004125997400655,1.0,done
bf,breakout,TSLA,2024-12-05,long,1240.0,369.49,14.35928571428572,359.5,0.6957170571556488,WIN,exit_fired,13.0,6.462020593941197,1.0,done
bf,breakout,UAMY,2025-10-01,long,1443.0,7.55,0.712142857142857,6.67,1.2357071213640924,WIN,exit_fired,13.0,8.2567703109328,0.0,done
bf,breakout,UAN,2022-03-17,long,556.0,60.9084,3.674719485340975,57.55040336576387,0.9138103323618847,WIN,exit_fired,22.0,8.750191716202904,1.0,done
