setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
bf,QFIN,1208,1208,1,0,LOSS,stop_hit,2,-1.0,32.11824084084084,1208,1.3275076295156174,1,1209.0,0
bf,QFIN,1211,1211,1,0,LOSS,stop_hit,1,-1.0,32.643830962343095,1211,1.3234189988861456,1,1212.0,0
bf,CRDO,689,689,1,0,LOSS,stop_hit,3,-1.0,39.3056,689,1.9486500000000002,1,691.0,0
bf,CRDO,731,731,1,0,LOSS,stop_hit,1,-1.0,71.7,731,5.072578571428571,1,732.0,0
bf,CRDO,733,734,2,0,LOSS,stop_hit,2,-1.0,71.86,734,4.502221428571429,1,737.0,0
bf,DCOM,1214,1214,1,0,BE,no_breakout_within_fw,0,0.0,29.543947081712062,1214,1.1049437267506337,0,,0
bf,POWL,1214,1214,1,0,BE,breakout_too_far,0,0.0,87.00527670193216,1214,3.9544085688123514,0,,1
bf,POWL,1216,1216,1,0,BE,breakout_too_far,0,0.0,85.17954898497999,1216,3.6247249008590168,0,,1
bf,CORZ,194,194,1,0,LOSS,stop_hit,1,-1.0,14.27,194,0.7914285714285715,0,199.0,0
bf,CORZ,440,440,1,0,WIN,exit_fired,6,1.7797615684501957,19.49,440,1.264214285714285,0,441.0,0
bf,HUT,1219,1219,1,0,WIN,earnings_flat_favorable,4,4.211558682214038,17.48,1219,1.5148785714285715,1,1220.0,0
bf,HUT,1443,1444,2,1,WIN,exit_fired,8,4.980738184520502,37.45,1444,2.508664285714287,1,1445.0,1
bf,QNCX,1224,1224,1,0,LOSS,stop_hit,1,-1.0,17.100000381469727,1224,2.528571367263794,0,1226.0,0
bf,REAL,1224,1224,1,1,BE,breakout_too_far,0,0.0,3.875,1224,0.2242285714285714,0,,1
bf,REAL,1227,1228,2,0,WIN,exit_fired,28,27.44388955857874,4.1,1228,0.24887142857142847,0,1229.0,1
bf,REAL,1422,1422,1,0,WIN,exit_fired,24,5.577954855709707,7.88,1422,0.44998571428571427,1,1424.0,0
bf,IGIC,1218,1218,1,0,LOSS,stop_hit,11,-1.0,23.16479712804148,1218,1.0053051292597275,0,1221.0,0
bf,ADTN,1229,1229,1,0,WIN,exit_fired,17,1.2334575356546331,7.92,1229,0.38914999999999994,0,1231.0,0
bf,ADTN,1237,1238,2,0,BE,no_breakout_within_fw,0,0.0,8.77,1238,0.3462285714285715,0,,0
bf,CORT,1229,1229,1,0,WIN,exit_fired,13,1.290659245086102,54.57,1229,3.285142857142858,0,1230.0,0
bf,CORT,1235,1235,1,0,LOSS,stop_hit,1,-1.0,59.2099,1235,2.589492857142857,1,1237.0,0
bf,LITE,1230,1230,1,0,LOSS,stop_hit,4,-1.0,83.12,1230,3.39032142857143,1,1231.0,0
bf,LITE,1237,1237,1,0,LOSS,stop_hit,5,-1.0,88.335,1237,3.4921357142857152,1,1238.0,0
bf,LITE,1241,1241,1,0,BE,no_breakout_within_fw,0,0.0,94.22,1241,3.657850000000001,0,,0
bf,QBTS,991,991,1,1,WIN,exit_fired,22,26.24470018170806,1.76,991,0.23585714285714285,0,992.0,1
bf,QBTS,1000,1000,1,0,WIN,exit_fired,13,9.757894736842106,3.315,1000,0.475,0,1001.0,1
bf,SOUN,645,645,1,1,WIN,exit_fired,26,21.690024244574538,6.74,645,0.6039642857142857,0,646.0,1
bf,TSL,575,576,2,0,LOSS,stop_hit,1,-1.0,15.15,576,0.8793714285714286,0,577.0,0
bf,TSL,581,581,1,0,WIN,exit_fired,16,7.2332325607434775,15.01,581,0.8930999999999999,0,582.0,0
bf,TSL,583,584,2,0,WIN,exit_fired,13,7.816083056767713,15.7,584,0.7382214285714286,0,585.0,0
bf,TSLA,1231,1231,1,0,LOSS,stop_hit,1,-1.0,347.99,1231,17.06142857142857,1,1232.0,0
bf,TSLA,1238,1239,2,1,WIN,exit_fired,13,7.124810707830583,358.1,1239,14.622142857142864,1,1240.0,0
bf,TSLY,501,501,1,0,LOSS,stop_hit,1,-1.0,26.623605235602092,501,1.037160949473165,0,502.0,0
bf,TSLY,506,506,1,0,WIN,exit_fired,16,5.310726055589776,26.95813130193906,506,1.003284417665039,0,507.0,0
