setup,class,type,features,direction,threshold,ori,auc,kept_winner_frac,kept_loser_frac,lift
htf,breakout,single,m_bb_pctb_30,>=,1.0595703125,1.0,0.8682389937106918,0.9444444444444444,0.2339622641509434,0.7104821802935011
htf,breakout,single,m_ext_slope_xavgc13_off3,>=,1.3253905773162842,1.0,0.8643388249015892,0.8947368421052632,0.2770083102493075,0.6177285318559557
htf,breakout,single,w_ext_slope_avgc50_off2,>=,0.9417968988418579,1.0,0.8124310776942356,0.88,0.5288220551378446,0.35117794486215537
htf,breakout,pair,m_bb_pctb_30&m_ext_slope_xavgc13_off3,AND,"m_bb_pctb_30>=1.0596, m_ext_slope_xavgc13_off3>=1.3187",,,0.8333333333333334,0.15471698113207547,0.6786163522012579
htf,breakout,pair,m_bb_pctb_30&w_ext_slope_avgc50_off2,AND,"m_bb_pctb_30>=1.0596, w_ext_slope_avgc50_off2>=0.5207",,,0.8333333333333334,0.1811320754716981,0.6522012578616353
htf,breakout,pair,m_ext_slope_xavgc13_off3&w_ext_slope_avgc50_off2,AND,"m_ext_slope_xavgc13_off3>=1.3254, w_ext_slope_avgc50_off2>=0.5731",,,0.8421052631578947,0.23268698060941828,0.6094182825484764
bf,breakout,single,w_ext_slope_xavgc100_off2,>=,1.2780272960662842,1.0,0.8911064425770309,0.8809523809523809,0.25630252100840334,0.6246498599439776
bf,breakout,single,m_di_spread_7,>=,54.368751525878906,1.0,0.8475067126965861,0.8909090909090909,0.3227848101265823,0.5681242807825087
bf,breakout,single,m_ns_c_minl2_pct,>=,34.953125,1.0,0.7895569620253164,0.8928571428571429,0.5443037974683544,0.34855334538878846
bf,breakout,single,m_ext_slope_xavgc21_off2,>=,0.3914550840854645,1.0,0.7451447245564893,0.8809523809523809,0.7294117647058823,0.15154061624649862
bf,breakout,single,m_di_spread_20,>=,33.1875,1.0,0.7302924915284466,0.9047619047619048,0.5205992509363296,0.38416265382557513
bf,breakout,single,m_bb_pctb_30,>=,0.818359375,1.0,0.7180493273542601,0.9,0.7713004484304933,0.12869955156950674
bf,breakout,pair,w_ext_slope_xavgc100_off2&m_di_spread_7,AND,"w_ext_slope_xavgc100_off2>=1.2780, m_di_spread_7>=54.3500",,,0.7857142857142857,0.1638655462184874,0.6218487394957983
bf,breakout,pair,w_ext_slope_xavgc100_off2&m_di_spread_20,AND,"w_ext_slope_xavgc100_off2>=1.2780, m_di_spread_20>=33.1875",,,0.7857142857142857,0.1722689075630252,0.6134453781512605
bf,breakout,pair,w_ext_slope_xavgc100_off2&m_bb_pctb_30,AND,"w_ext_slope_xavgc100_off2>=1.2676, m_bb_pctb_30>=0.8184",,,0.825,0.21524663677130046,0.6097533632286996
bf,breakout,pair,w_ext_slope_xavgc100_off2&m_ns_c_minl2_pct,AND,"w_ext_slope_xavgc100_off2>=1.2780, m_ns_c_minl2_pct>=35.2094",,,0.8095238095238095,0.21428571428571427,0.5952380952380952
bf,breakout,pair,w_ext_slope_xavgc100_off2&m_ext_slope_xavgc21_off2,AND,"w_ext_slope_xavgc100_off2>=1.2780, m_ext_slope_xavgc21_off2>=0.3915",,,0.7857142857142857,0.226890756302521,0.5588235294117647
bf,breakout,pair,m_di_spread_7&m_ns_c_minl2_pct,AND,"m_di_spread_7>=54.3688, m_ns_c_minl2_pct>=35.1250",,,0.8181818181818182,0.2805907172995781,0.5375911008822402
bf,breakout,pair,m_di_spread_7&m_di_spread_20,AND,"m_di_spread_7>=54.3500, m_di_spread_20>=33.1875",,,0.8095238095238095,0.3295880149812734,0.47993579454253615
bf,breakout,pair,m_di_spread_7&m_bb_pctb_30,AND,"m_di_spread_7>=54.2094, m_bb_pctb_30>=0.8184",,,0.8,0.32286995515695066,0.4771300448430494
bf,breakout,pair,m_ns_c_minl2_pct&m_di_spread_20,AND,"m_ns_c_minl2_pct>=35.2094, m_di_spread_20>=33.1875",,,0.8571428571428571,0.3970037453183521,0.460139111824505
