setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,LSTR,236,238,3,0,2020-12-10,124.3673,3.0008400253012204,,75.125,1,30,3.2458482477850428,6.461407058845594,4,27,0,56.875,76.69375000000002
dtss,short,LSTR,501,502,2,0,2021-12-29,163.938,3.864297589392856,,54.96875,1,18,4.163891747806276,0.4213742189732083,17,5,0,56.875,76.69375000000002
dtss,short,ODFL,236,236,1,0,2020-12-08,102.4447,2.304675198723612,,71.125,1,38,4.376524075242944,0.6896055754569006,18,27,0,56.875,76.69375000000002
dtss,short,PINC,236,236,1,0,2020-12-08,31.371,0.7762483520175117,,66.125,1,36,3.162489154407431,1.5202647276856867,5,19,0,56.875,76.69375000000002
dtss,short,DDOG,241,241,1,0,2020-12-15,101.23,4.952878571428571,,67.3125,1,38,2.3012879955812156,3.675236478642291,13,37,0,56.875,76.69375000000002
dtss,short,NFLX,242,242,1,0,2020-12-16,52.483,1.42401427023375,,62.78125,1,20,2.749965419487823,1.4515303976979845,17,10,0,56.875,76.69375000000002
dtss,short,NFLX,245,245,1,0,2020-12-21,52.891,1.3575435559480356,,62.78125,1,17,3.1851574714156112,1.2220602372064906,14,7,0,56.875,76.69375000000002
dtss,short,IQV,243,243,1,0,2020-12-17,178.95,3.6900000000000017,,82.0625,1,35,2.4254742547425434,3.628726287262875,26,16,0,56.875,76.69375000000002
dtss,short,FSM,245,245,1,0,2020-12-21,7.76,0.28286428571428573,,74.75,1,52,5.301482285800863,7.388702305497335,50,27,0,56.875,76.69375000000002
dtss,short,CRI,246,247,2,0,2020-12-23,78.2444,2.345336454041439,,66.5,1,42,3.0383122717421562,3.5779924289142016,25,12,0,56.875,76.69375000000002
dtss,short,CRI,256,256,1,0,2021-01-07,82.3621,2.4903415367518176,,50.8125,1,33,4.514868488417639,1.716188728631674,16,3,0,56.875,76.69375000000002
dtss,short,PEGA,246,246,1,0,2020-12-22,67.7886,1.8054782580447022,,79.5625,1,36,2.8517253780086858,3.1950301039501867,25,36,0,56.875,76.69375000000002
dtss,short,VRSK,246,247,2,0,2020-12-23,193.1905,3.1113273842317914,,71.875,1,39,5.418386918126487,3.319363702021474,24,3,0,56.875,76.69375000000002
dtss,short,WB,246,246,1,0,2020-12-22,35.1292,1.1859797527138813,,62.8125,1,2,1.3088507241239091,0.19346685956616425,2,1,0,56.875,76.69375000000002
dtss,short,CBSH,247,249,3,0,2020-12-28,50.1071,1.0557197263093572,,78.0,1,14,1.5318770403862016,4.432879362849415,4,10,0,56.875,76.69375000000002
dtss,short,INTU,247,247,1,0,2020-12-23,363.4825,7.571518067626487,,80.1875,1,39,2.4492440122608112,6.049754370433246,8,35,0,56.875,76.69375000000002
dtss,short,INTU,249,249,1,0,2020-12-28,367.5327,7.550164523014018,,80.1875,1,37,2.99260966062219,5.530425779883385,6,33,0,56.875,76.69375000000002
