feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
slope_xavgc9_off2_adr14,0.5932348,0.3481684,-0.07975374,0.37006587,1.8185642,73
roc_rank_5_lb50,0.7342479,0.18315254,0.33171394,0.22375081,1.799028,73
range_pos_7,0.700804,0.1716527,0.31683332,0.21410498,1.7933757,73
retrace_7,0.700804,0.1716527,0.31683332,0.21410498,1.7933757,73
slope_xavgc12_off2_atr14,0.4879443,0.24259984,0.003809262,0.2702106,1.7916952,73
nr_c_maxh30_adr14,0.54731184,0.72893345,2.5856516,1.1396967,1.7884933,73
rsi_5,72.066345,15.327434,40.16592,17.839596,1.788181,65
nr_c_maxh3_adr14,0.31211764,0.81912947,2.3561935,1.1436459,1.7873329,73
es_ext50_rsi_7,65.639984,17.366789,36.936108,16.075697,1.7855448,73
ext_avgc10_atr14,1.2652075,0.8664951,-0.42204118,0.94512093,1.7852199,73
st_c_gt_maxc20_1_10,0.63013697,0.9053367,2.9041095,1.274889,1.7836632,73
nr_c_maxh35_atr14,0.6465274,0.6701661,2.4116344,0.9928213,1.7778698,73
st_cci14_gt_100_15,0.32876712,1.6754339,2.25,1.082903,1.7741505,73
ext_ceil_xavgc21_atr14_lb1260,0.35085043,0.16574486,-0.008989017,0.20318945,1.7709553,18
ext_avgc8_adr14,1.1023254,0.9296861,-0.6406524,0.984326,1.7707323,73
ext_slope_avgc200_off3,0.94990927,1.1913034,-1.2928053,1.2667935,1.7703869,73
slope_xavgc13_off2_atr14,0.46839842,0.22624421,0.019470055,0.25447533,1.7641331,73
ext_avgc5_atr14,0.58656466,0.7195408,-0.7186139,0.7403,1.7630402,73
retrace_high_50,0.98339844,0.027955612,0.71205664,0.15390596,1.7630364,73
ext_slope_xavgc100_off3,0.87001354,1.19591,-1.3273629,1.2475189,1.7613974,73
es_ext50_rsi_5,64.944565,21.39941,32.08901,18.654661,1.7612518,73
es_ext50_rsi_9,65.280396,14.7727785,40.227764,14.287445,1.7534717,73
ext_slope_xavgc50_off3,0.78417134,1.1849929,-1.3501457,1.219801,1.7497256,73
retrace_high_65,0.9832379,0.026091984,0.7335744,0.14305465,1.7452319,73
slope_xavgc8_off1_atr14,0.25168034,0.18904778,-0.11471218,0.21001175,1.7446287,73
ext_xavgc8_atr14,0.8807908,0.6616041,-0.4014856,0.7350165,1.7445545,73
dist_from_xavgc8_atr14,0.8807908,0.6616041,-0.4014856,0.7350165,1.7445545,73
ext_slope_xavgc21_off5,0.8791951,1.2084641,-1.2607484,1.2273908,1.7434901,73
nr_c_maxh40_atr14,0.69977224,0.6528832,2.436184,0.99595773,1.7434592,73
slope_xavgc9_off1_atr14,0.24443054,0.1713693,-0.09074327,0.19243687,1.7417338,73
ext_xavgc9_atr14,0.97772217,0.6854772,-0.3629731,0.7697475,1.7417338,73
ext_slope_xavgc50_off5,1.1763849,1.259234,-1.1252419,1.3223516,1.7405558,73
ext_ceil_xavgc8_adr14_lb1260,0.2602607,0.20489651,-0.119783506,0.21869987,1.7377433,18
slope_xavgc12_off2_adr14,0.5199761,0.27414912,0.00036014616,0.2996645,1.7339923,73
bb_pctb_15,0.8622378,0.14515464,0.46126032,0.23126777,1.7338235,73
ext_xavgc10_atr14,1.0657046,0.70480114,-0.32125914,0.7999918,1.7337224,73
ext_avgc10_adr14,1.3560816,0.9745375,-0.4628785,1.0504267,1.7316391,73
ext_slope_avgc50_off3,0.8660174,1.2353249,-1.3181797,1.2616104,1.7312771,73
stoch_10,81.02397,12.876011,51.844635,16.866804,1.7299861,73
ext_slope_xavgc100_off5,1.2909939,1.2555027,-1.0544896,1.3562803,1.7293501,73
retrace_high_120,0.9859469,0.02089575,0.80099654,0.10694826,1.7293442,73
ext_ceil_xavgc12_adr14_lb1260,0.29504097,0.2114964,-0.07468125,0.2138741,1.7286909,18
ext_slope_avgc200_off5,1.4021263,1.2444245,-0.9737352,1.3776264,1.7246052,73
nr_c_maxh45_atr14,0.7297158,0.63301337,2.4425383,0.99541825,1.7207062,73
tir_cci14_gt_100_10,3.0547945,2.278464,0.39041093,1.5492424,1.7197978,73
es_ext50_bb_10_std3.0,0.63950795,0.14468525,0.3744004,0.15422863,1.7189256,73
es_ext50_bb_10_std2.0,0.70922685,0.21701732,0.31160966,0.23134746,1.7187014,73
es_ext50_bb_10_std1.5,0.77895826,0.28937212,0.2488131,0.30846798,1.7186393,73
es_ext50_stoch_5,66.52933,34.04474,17.30181,28.662863,1.7174668,73
es_ext50_floor_5,0.6652974,0.34045145,0.17302456,0.28664,1.7173907,73
es_ext50_range_pos_5,0.6652974,0.34045145,0.17302456,0.28664,1.7173907,73
low_vs_xavgc8_atr14,0.5306171,0.62950313,-0.75689304,0.75071883,1.7150364,73
dist_from_xavgc12_atr14,1.2191522,0.73366386,-0.2351497,0.8504483,1.7100415,73
ext_xavgc12_atr14,1.2191522,0.73366386,-0.2351497,0.8504483,1.7100415,73
slope_xavgc12_off1_atr14,0.22165357,0.13336572,-0.042752605,0.15462145,1.7100226,73
retrace_low_10,0.652909,0.1672583,0.2909431,0.21170738,1.7097462,73
slope_xavgc13_off2_adr14,0.49900672,0.2555178,0.01722671,0.28190115,1.7090387,73
es_ext50_cci_7,54.49422,83.42763,-74.26681,75.41032,1.7074723,73
tir_cci14_gt_100_30,3.0821917,2.3731918,0.39041093,1.5774283,1.7064362,73
tir_cci14_gt_100_15,3.0821917,2.3731918,0.39041093,1.5774283,1.7064362,73
tir_cci14_gt_100_20,3.0821917,2.3731918,0.39041093,1.5774283,1.7064362,73
ext_avgc5_adr14,0.63642037,0.8059112,-0.7778938,0.8289977,1.7060533,73
es_ext50_stoch_7,71.993256,30.45108,22.565237,28.9971,1.7045848,73
es_ext50_range_pos_7,0.7199249,0.30451295,0.2256605,0.28998515,1.7044474,73
nr_c_maxh55_atr14,0.78194356,0.636231,2.457722,0.9856083,1.7002479,73
ext_slope_xavgc13_off5,0.6332707,1.1392015,-1.3072044,1.1419421,1.6992761,73
ext_xavgc13_atr14,1.2862248,0.74388635,-0.1925569,0.87157524,1.6966771,73
slope_xavgc13_off1_atr14,0.2143699,0.124001205,-0.0320912,0.14527276,1.6965402,73
slope_xavgc8_off1_adr14,0.27041614,0.2127728,-0.12560716,0.23368375,1.6946976,73
